id,lat,lon
GV1485,41.3159,-8.31387
GV1486,41.31586,-8.31396
GV1487,41.31547,-8.31387
GV1488,41.3155,-8.31386
GV1489,41.31559,-8.31355
GV1490,41.31533,-8.31373
GV1491,41.31372,-8.31384
GV1492,41.31346,-8.31346
GV1493,41.31272,-8.31376
GV1494,41.31117,-8.31237
GV1495,41.31109,-8.31219
GV1496,41.31105,-8.3122
GV1497,41.31098,-8.31227
GV1498,41.30259,-8.21418
GV1499,41.30266,-8.21421
GV1500,41.30278,-8.21426
GV1501,41.3029,-8.21429
GV1502,41.30277,-8.21414
GV1503,41.30263,-8.21407
GV1504,41.30269,-8.21403
GV1505,41.30275,-8.21398
GV1506,41.30298,-8.21356
GV1507,41.30307,-8.21336
GV1508,41.30308,-8.21372
GV1509,41.30319,-8.21394
GV1510,41.30313,-8.21399
GV1511,41.30313,-8.2141
GV1512,41.30306,-8.21408
GV1513,41.30298,-8.21418
GV1514,41.30298,-8.21407
GV1515,41.3029,-8.21418
GV1516,41.30302,-8.21395
GV1517,41.30288,-8.21344
GV1518,41.30262,-8.21333
GV1519,41.30064,-8.21464
GV1520,41.30063,-8.21452
GV1521,41.30066,-8.21432
GV1522,41.3007,-8.21435
GV1523,41.30074,-8.21437
GV1524,41.30078,-8.2144
GV1525,41.30082,-8.21442
GV1526,41.30085,-8.21444
GV1527,41.3009,-8.21443
GV1528,41.30094,-8.2144
GV1529,41.30096,-8.21436
GV1530,41.301,-8.21433
GV1531,41.30101,-8.2143
GV1532,41.30105,-8.21425
